# ============================================================================
# OWASP ZAP Scan Rules Configuration
# Customize which security checks to run during DAST scanning
# ============================================================================
# Format: rule_id	action	description
# Actions: IGNORE, WARN, FAIL
# ============================================================================

# Informational findings - Log but don't fail
10020	WARN	Anti-clickjacking Header
10021	WARN	X-Content-Type-Options Header Missing
10036	WARN	Server Leaks Version Information
10038	WARN	Content Security Policy Header Not Set

# Low severity - Warn
10035	WARN	Strict-Transport-Security Header Not Set
10037	WARN	Server Leaks Information via X-Powered-By
10096	WARN	Timestamp Disclosure
10055	WARN	CSP: Wildcard Directive
10063	WARN	Permissions Policy Header Not Set

# Medium severity - Fail on these
10010	FAIL	Cookie Without Secure Flag
10011	FAIL	Cookie Without HttpOnly Flag
10012	FAIL	Password Autocomplete in Browser
10015	FAIL	Incomplete or No Cache-control Header Set
10017	FAIL	Cross-Domain JavaScript Source File Inclusion
10024	FAIL	Information Disclosure - Sensitive Information in URL
10025	FAIL	Information Disclosure - Sensitive Information in HTTP Referrer Header
10027	FAIL	Information Disclosure - Suspicious Comments
10032	FAIL	Viewstate
10040	FAIL	Secure Pages Include Mixed Content
10054	FAIL	Cookie Without SameSite Attribute
10057	FAIL	Username Hash Found
10062	FAIL	PII Disclosure
10098	FAIL	Cross-Domain Misconfiguration

# High severity - Always fail
10016	FAIL	Web Browser XSS Protection Not Enabled
10019	FAIL	Content-Type Header Missing
10023	FAIL	Information Disclosure - Debug Error Messages
10028	FAIL	Open Redirect
10029	FAIL	Cookie Poisoning
10039	FAIL	Secure Pages Include Mixed Content (including scripts)
10105	FAIL	Weak Authentication Method
10106	FAIL	HTTP Only Site
10202	FAIL	Absence of Anti-CSRF Tokens
20012	FAIL	Anti-CSRF Tokens Check
20014	FAIL	HTTP Parameter Pollution
20017	FAIL	Source Code Disclosure
20019	FAIL	External Redirect
30001	FAIL	Buffer Overflow
30002	FAIL	Format String Error
30003	FAIL	Integer Overflow

# Critical - SQL Injection, XSS, etc.
40003	FAIL	CRLF Injection
40008	FAIL	Parameter Tampering
40009	FAIL	Server Side Include
40012	FAIL	Cross Site Scripting (Reflected)
40013	FAIL	Session ID in URL Rewrite
40014	FAIL	Cross Site Scripting (Persistent)
40016	FAIL	Cross Site Scripting (Persistent) - Prime
40017	FAIL	Cross Site Scripting (Persistent) - Spider
40018	FAIL	SQL Injection
40019	FAIL	SQL Injection - MySQL
40020	FAIL	SQL Injection - Hypersonic SQL
40021	FAIL	SQL Injection - Oracle
40022	FAIL	SQL Injection - PostgreSQL
40023	FAIL	Possible Username Enumeration
40024	FAIL	SQL Injection - SQLite
40025	FAIL	Proxy Disclosure
40026	FAIL	Cross Site Scripting (DOM Based)
40027	FAIL	SQL Injection - MsSQL
40028	FAIL	ELMAH Information Leak
40029	FAIL	Trace.axd Information Leak
40032	FAIL	.htaccess Information Leak
40034	FAIL	.env Information Leak
40035	FAIL	Hidden File Finder
40038	FAIL	Bypassing 403
40039	FAIL	Web Cache Deception
40040	FAIL	CORS Misconfiguration
40041	FAIL	File Upload
40042	FAIL	Spring Actuator Information Leak
40043	FAIL	Log4Shell
90001	FAIL	Insecure JSF ViewState
90011	FAIL	Charset Mismatch
90017	FAIL	XSLT Injection
90018	FAIL	SQL Injection - Hibernate
90019	FAIL	Server Side Code Injection
90020	FAIL	Remote OS Command Injection
90021	FAIL	XPath Injection
90022	FAIL	Application Error Disclosure
90023	FAIL	XML External Entity Attack
90024	FAIL	Generic Padding Oracle
90025	FAIL	Expression Language Injection
90026	FAIL	SOAP Action Spoofing
90027	FAIL	Cookie Slack Detector
90028	FAIL	Insecure HTTP Method
90029	FAIL	SOAP XML Injection
90030	FAIL	WSDL File Detection
90033	FAIL	Loosely Scoped Cookie
90034	FAIL	Cloud Metadata Potentially Exposed
